PCB: 008
ASM: 000
LOT: 00000
FW:  1477971088
CH1:  AMPS   10A
CH2:  VOLT   60V
SMPL: 0032 0125Hz
UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1545557562.761,-2.817551E-03, 4.144887E000
1545557572.761,-2.822359E-03, 4.144887E000
1545557582.755,-2.822359E-03, 4.144850E000
1545557592.755,-2.798318E-03, 4.144887E000
1545557602.760,-2.831975E-03, 4.144832E000
1545557612.760,-2.836783E-03, 4.144832E000
1545557622.761,-2.803126E-03, 4.144868E000
1545557632.761,-2.827167E-03, 4.144868E000
1545557642.761,-2.817551E-03, 4.144850E000
1545557652.760,-2.827167E-03, 4.144814E000
1545557662.761,-2.812743E-03, 4.144850E000
1545557672.760,-2.827167E-03, 4.144850E000
1545557682.761,-2.812743E-03, 4.144850E000
1545557692.760,-2.817551E-03, 4.144850E000
1545557702.761,-2.831975E-03, 4.144850E000
1545557712.761,-2.812743E-03, 4.144814E000
1545557722.755,-2.803126E-03, 4.144796E000
1545557732.761,-2.807934E-03, 4.144796E000
1545557742.761,-2.827167E-03, 4.144777E000
1545557752.761,-2.817551E-03, 4.144814E000
1545557762.761,-2.831975E-03, 4.144796E000
1545557772.760,-2.817551E-03, 4.144759E000
1545557782.761,-2.836783E-03, 4.144796E000
1545557792.765,-2.812743E-03, 4.144796E000
1545557802.761,-2.812743E-03, 4.144777E000
1545557812.761,-2.817551E-03, 4.144796E000
1545557822.761,-2.831975E-03, 4.144759E000
1545557832.761,-2.841591E-03, 4.144759E000
1545557842.761,-2.812743E-03, 4.144796E000
1545557852.766,-2.793510E-03, 4.144759E000
1545557862.760,-2.822359E-03, 4.144740E000
1545557872.761,-2.836783E-03, 4.144759E000
1545557882.761,-2.822359E-03, 4.144740E000
1545557892.761,-2.807934E-03, 4.144722E000
1545557902.761,-2.827167E-03, 4.144740E000
1545557912.761,-2.831975E-03, 4.144704E000
1545557922.761,-2.812743E-03, 4.144759E000
1545557932.766,-2.851207E-03, 4.144685E000
1545557942.761,-2.827167E-03, 4.144685E000
1545557952.761,-2.812743E-03, 4.144685E000
1545557962.760,-2.827167E-03, 4.144722E000
1545557972.760,-2.817551E-03, 4.144685E000
1545557982.761,-2.831975E-03, 4.144722E000
1545557992.761,-2.812743E-03, 4.144685E000
1545558002.761,-2.812743E-03, 4.144704E000
1545558012.761,-2.807934E-03, 4.144685E000
1545558022.761,-2.831975E-03, 4.144685E000
1545558032.765,-2.822359E-03, 4.144612E000
1545558042.761,-2.812743E-03, 4.144685E000
1545558052.761,-2.788702E-03, 4.144685E000
1545558062.761,-2.803126E-03, 4.144649E000
1545558072.761,-2.822359E-03, 4.144667E000
1545558082.761,-2.831975E-03, 4.144649E000
1545558092.761,-2.827167E-03, 4.144631E000
1545558102.761,-2.846399E-03, 4.144667E000
1545558112.760,-2.812743E-03, 4.144631E000
1545558122.761,-2.822359E-03, 4.144631E000
1545558132.760,-2.822359E-03, 4.144631E000
1545558142.761,-2.827167E-03, 4.144594E000
1545558152.761,-2.798318E-03, 4.144612E000
1545558162.761,-2.812743E-03, 4.144631E000
1545558172.760,-2.803126E-03, 4.144612E000
1545558182.761,-2.822359E-03, 4.144594E000
1545558192.761,-2.817551E-03, 4.144631E000
1545558202.761,-2.812743E-03, 4.144612E000
1545558212.761,-2.827167E-03, 4.144612E000
1545558222.760,-2.822359E-03, 4.144594E000
1545558232.761,-2.812743E-03, 4.144594E000
1545558242.760,-2.822359E-03, 4.144612E000
1545558252.761,-2.827167E-03, 4.144594E000
1545558262.765,-2.822359E-03, 4.144539E000
1545558272.761,-2.836783E-03, 4.144612E000
1545558282.761,-2.846399E-03, 4.144557E000
1545558292.761,-2.836783E-03, 4.144520E000
1545558302.760,-2.831975E-03, 4.144576E000
1545558312.761,-2.812743E-03, 4.144557E000
1545558322.761,-2.831975E-03, 4.144539E000
1545558332.761,-2.807934E-03, 4.144557E000
1545558342.761,-2.793510E-03, 4.144557E000
1545558352.761,-2.817551E-03, 4.144520E000
1545558362.761,-2.812743E-03, 4.144576E000
1545558372.761,-2.817551E-03, 4.144557E000
1545558382.761,-2.827167E-03, 4.144520E000
1545558392.760,-2.831975E-03, 4.144539E000
1545558402.760,-2.822359E-03, 4.144502E000
1545558412.761,-2.807934E-03, 4.144447E000
1545558422.761,-2.831975E-03, 4.144539E000
1545558432.761,-2.827167E-03, 4.144484E000
1545558442.761,-2.836783E-03, 4.144520E000
1545558452.761,-2.831975E-03, 4.144484E000
1545558462.761,-2.817551E-03, 4.144520E000
1545558472.760,-2.812743E-03, 4.144466E000
1545558482.761,-2.831975E-03, 4.144520E000
1545558492.760,-2.822359E-03, 4.144502E000
1545558502.765,-2.827167E-03, 4.144429E000
1545558512.761,-2.798318E-03, 4.144447E000
1545558522.761,-2.836783E-03, 4.144466E000
1545558532.760,-2.831975E-03, 4.144447E000
1545558542.760,-2.841591E-03, 4.144484E000
1545558552.761,-2.812743E-03, 4.144484E000
1545558562.761,-2.812743E-03, 4.144484E000
1545558572.760,-2.836783E-03, 4.144447E000
1545558582.761,-2.822359E-03, 4.144411E000
1545558592.760,-2.817551E-03, 4.144429E000
1545558602.765,-2.822359E-03, 4.144392E000
1545558612.761,-2.812743E-03, 4.144429E000
1545558622.761,-2.812743E-03, 4.144392E000
1545558632.761,-2.798318E-03, 4.144466E000
1545558642.760,-2.827167E-03, 4.144392E000
1545558652.760,-2.836783E-03, 4.144429E000
1545558662.761,-2.812743E-03, 4.144356E000
1545558672.761,-2.822359E-03, 4.144374E000
1545558682.761,-2.812743E-03, 4.144429E000
1545558692.760,-2.827167E-03, 4.144392E000
1545558702.761,-2.831975E-03, 4.144392E000
1545558712.761,-2.827167E-03, 4.144374E000
1545558722.760,-2.827167E-03, 4.144392E000
1545558732.761,-2.822359E-03, 4.144356E000
1545558742.761,-2.812743E-03, 4.144374E000
1545558752.761,-2.827167E-03, 4.144337E000
1545558762.761,-2.812743E-03, 4.144356E000
1545558772.766,-2.807934E-03, 4.144337E000
1545558782.761,-2.812743E-03, 4.144337E000
1545558792.760,-2.788702E-03, 4.144337E000
1545558802.761,-2.807934E-03, 4.144337E000
1545558812.760,-2.827167E-03, 4.144392E000
1545558822.761,-2.822359E-03, 4.144392E000
1545558832.761,-2.803126E-03, 4.144356E000
1545558842.761,-2.836783E-03, 4.144374E000
1545558852.761,-1.586771E-01, 4.115430E000
1545558862.761,-1.586194E-01, 4.114844E000
1545558872.766,-1.582684E-01, 4.114478E000
1545558882.761,-1.583598E-01, 4.114130E000
1545558892.761,-1.581963E-01, 4.113891E000
1545558902.760,-1.580136E-01, 4.113598E000
1545558912.761,-1.581194E-01, 4.113342E000
1545558922.761,-1.580425E-01, 4.113159E000
1545558932.760,-1.579799E-01, 4.112957E000
1545558942.760,-1.578405E-01, 4.112792E000
1545558952.761,-1.578165E-01, 4.112572E000
1545558962.761,-1.577347E-01, 4.112444E000
1545558972.761,-1.576867E-01, 4.112243E000
1545558982.761,-1.576338E-01, 4.112151E000
1545558992.760,-1.576867E-01, 4.111913E000
1545559002.760,-1.575953E-01, 4.111803E000
1545559012.760,-1.575809E-01, 4.111620E000
1545559022.761,-1.574895E-01, 4.111473E000
1545559032.761,-1.574751E-01, 4.111327E000
1545559042.760,-1.574943E-01, 4.111180E000
1545559052.760,-1.574847E-01, 4.111052E000
1545559062.761,-1.574751E-01, 4.110887E000
1545559072.761,-1.573789E-01, 4.110704E000
1545559082.761,-1.574270E-01, 4.110594E000
1545559092.761,-1.574415E-01, 4.110118E000
1545559102.761,-1.574078E-01, 4.110154E000
1545559112.761,-1.574462E-01, 4.109989E000
1545559122.761,-1.573789E-01, 4.109916E000
1545559132.761,-1.573597E-01, 4.109788E000
1545559142.761,-1.573357E-01, 4.109605E000
1545559152.761,-1.573645E-01, 4.109440E000
1545559162.761,-1.573838E-01, 4.109330E000
1545559172.761,-1.572828E-01, 4.109220E000
1545559182.761,-1.573453E-01, 4.109037E000
1545559192.761,-1.574078E-01, 4.108890E000
1545559202.760,-1.573549E-01, 4.108817E000
1545559212.760,-1.573309E-01, 4.108670E000
1545559222.761,-1.573212E-01, 4.108506E000
1545559232.761,-1.573453E-01, 4.108359E000
1545559242.761,-1.572972E-01, 4.108249E000
1545559252.759,-1.573212E-01, 4.108158E000
1545559262.760,-1.573261E-01, 4.107974E000
1545559272.761,-1.573068E-01, 4.107810E000
1545559282.761,-1.572587E-01, 4.107718E000
1545559292.761,-1.572972E-01, 4.107571E000
1545559302.761,-1.573357E-01, 4.107462E000
1545559312.760,-1.572972E-01, 4.107351E000
1545559322.761,-1.573164E-01, 4.107168E000
1545559332.765,-1.573068E-01, 4.107040E000
1545559342.761,-1.573116E-01, 4.106875E000
1545559352.765,-1.573212E-01, 4.106747E000
1545559362.761,-1.573453E-01, 4.106600E000
1545559372.760,-1.573549E-01, 4.106491E000
1545559382.761,-1.573501E-01, 4.106399E000
1545559392.761,-1.573261E-01, 4.106234E000
1545559402.761,-1.573309E-01, 4.106087E000
1545559412.759,-1.573116E-01, 4.106069E000
1545559422.761,-1.572780E-01, 4.105960E000
1545559432.761,-1.572876E-01, 4.105758E000
1545559442.761,-1.572780E-01, 4.105684E000
1545559452.766,-1.573741E-01, 4.105519E000
1545559462.761,-1.573357E-01, 4.105392E000
1545559472.761,-1.573501E-01, 4.105281E000
1545559482.765,-1.573309E-01, 4.105172E000
1545559492.761,-1.573885E-01, 4.105007E000
1545559502.761,-1.573212E-01, 4.104897E000
1545559512.761,-1.573116E-01, 4.104787E000
1545559522.765,-1.573693E-01, 4.104622E000
1545559532.760,-1.573789E-01, 4.104494E000
1545559542.761,-1.573261E-01, 4.104402E000
1545559552.761,-1.573982E-01, 4.104237E000
1545559562.761,-1.575232E-01, 4.104146E000
1545559572.760,-1.573934E-01, 4.104036E000
1545559582.760,-1.578501E-01, 4.103816E000
1545559592.761,-1.577972E-01, 4.103706E000
1545559602.761,-1.574847E-01, 4.103614E000
1545559612.761,-1.578838E-01, 4.103395E000
1545559622.760,-1.578694E-01, 4.103248E000
1545559632.761,-1.578501E-01, 4.103175E000
1545559642.760,-1.578405E-01, 4.102973E000
1545559652.761,-1.578405E-01, 4.102845E000
1545559662.761,-1.575713E-01, 4.102809E000
1545559672.760,-1.578790E-01, 4.102680E000
1545559682.761,-1.578934E-01, 4.102424E000
1545559692.761,-1.575809E-01, 4.102387E000
1545559702.761,-1.578790E-01, 4.101911E000
1545559712.761,-1.579175E-01, 4.101764E000
1545559722.766,-1.578598E-01, 4.101673E000
1545559732.761,-1.578598E-01, 4.101471E000
1545559742.761,-1.578501E-01, 4.101398E000
1545559752.761,-1.578549E-01, 4.101215E000
1545559762.760,-1.578453E-01, 4.101160E000
1545559772.760,-1.578934E-01, 4.101178E000
1545559782.761,-1.578501E-01, 4.101160E000
1545559792.761,-1.578598E-01, 4.101050E000
1545559802.761,-1.579030E-01, 4.100885E000
1545559812.761,-1.578357E-01, 4.100775E000
1545559822.761,-1.578549E-01, 4.100665E000
1545559832.761,-1.578213E-01, 4.100537E000
1545559842.765,-1.578790E-01, 4.100427E000
1545559852.761,-1.578453E-01, 4.100335E000
1545559862.761,-1.578405E-01, 4.100226E000
1545559872.761,-1.578453E-01, 4.099987E000
1545559882.760,-1.578886E-01, 4.099914E000
1545559892.761,-1.578646E-01, 4.099823E000
1545559902.765,-1.578501E-01, 4.099694E000
1545559912.761,-1.578357E-01, 4.099603E000
1545559922.761,-1.578261E-01, 4.099475E000
1545559932.760,-1.578598E-01, 4.099401E000
1545559942.765,-1.578357E-01, 4.099364E000
1545559952.761,-1.578598E-01, 4.099145E000
1545559962.761,-1.578790E-01, 4.099035E000
1545559972.761,-1.578453E-01, 4.098870E000
1545559982.761,-1.578357E-01, 4.098742E000
1545559992.760,-1.578646E-01, 4.098632E000
1545560002.761,-1.578790E-01, 4.098467E000
1545560012.765,-1.578790E-01, 4.098302E000
1545560022.761,-1.578742E-01, 4.098229E000
1545560032.761,-1.578982E-01, 4.098119E000
1545560042.760,-1.578598E-01, 4.097991E000
1545560052.761,-1.578646E-01, 4.097808E000
1545560062.761,-1.578117E-01, 4.097771E000
1545560072.760,-1.578790E-01, 4.097624E000
1545560082.761,-1.578790E-01, 4.097478E000
1545560092.761,-1.578790E-01, 4.097294E000
1545560102.761,-1.579030E-01, 4.097258E000
1545560112.766,-1.578790E-01, 4.096855E000
1545560122.761,-1.578790E-01, 4.096837E000
1545560132.761,-1.579175E-01, 4.096727E000
1545560142.760,-1.579367E-01, 4.096635E000
1545560152.760,-1.578934E-01, 4.096525E000
1545560162.760,-1.578838E-01, 4.096452E000
1545560172.760,-1.579415E-01, 4.096305E000
1545560182.761,-1.578549E-01, 4.096232E000
1545560192.760,-1.578549E-01, 4.096122E000
1545560202.761,-1.578549E-01, 4.095976E000
1545560212.766,-1.578934E-01, 4.095811E000
1545560222.761,-1.578886E-01, 4.095719E000
1545560232.766,-1.578646E-01, 4.095591E000
1545560242.761,-1.578790E-01, 4.095518E000
1545560252.760,-1.578742E-01, 4.095389E000
1545560262.761,-1.579126E-01, 4.095279E000
1545560272.761,-1.579175E-01, 4.095188E000
1545560282.760,-1.579030E-01, 4.095023E000
1545560292.760,-1.579078E-01, 4.094968E000
1545560302.761,-1.580040E-01, 4.094803E000
1545560312.760,-2.846399E-03, 4.123857E000
1545560322.761,-2.831975E-03, 4.124223E000
1545560332.766,-2.846399E-03, 4.124516E000
1545560342.761,-2.841591E-03, 4.124663E000
1545560352.766,-2.831975E-03, 4.124773E000
1545560362.761,-2.827167E-03, 4.124956E000
1545560372.760,-2.822359E-03, 4.125048E000
1545560382.766,-2.851207E-03, 4.125139E000
1545560392.760,-2.851207E-03, 4.125268E000
1545560402.761,-2.827167E-03, 4.125322E000
1545560412.760,-2.822359E-03, 4.125322E000
1545560422.761,-2.841591E-03, 4.125341E000
1545560432.761,-2.831975E-03, 4.125432E000
1545560442.761,-2.846399E-03, 4.125451E000
1545560452.760,-2.812743E-03, 4.125487E000
1545560462.761,-2.817551E-03, 4.125487E000
1545560472.761,-2.841591E-03, 4.125524E000
1545560482.761,-2.846399E-03, 4.125506E000
1545560492.761,-2.822359E-03, 4.125597E000
1545560502.761,-2.841591E-03, 4.125615E000
1545560512.760,-2.841591E-03, 4.125579E000
1545560522.760,-2.822359E-03, 4.125634E000
1545560532.761,-2.827167E-03, 4.125671E000
1545560542.761,-2.841591E-03, 4.125652E000
1545560552.760,-2.841591E-03, 4.125634E000
1545560562.761,-2.817551E-03, 4.125689E000
1545560572.760,-2.827167E-03, 4.125707E000
1545560582.761,-2.822359E-03, 4.125725E000
1545560592.761,-2.822359E-03, 4.125725E000
1545560602.765,-2.831975E-03, 4.125762E000
1545560612.760,-2.822359E-03, 4.125725E000
1545560622.761,-2.846399E-03, 4.125743E000
1545560632.761,-2.822359E-03, 4.125762E000
1545560642.761,-2.831975E-03, 4.125835E000
1545560652.761,-2.807934E-03, 4.125817E000
1545560662.766,-2.817551E-03, 4.125780E000
1545560672.761,-2.831975E-03, 4.125835E000
1545560682.761,-2.831975E-03, 4.125817E000
1545560692.760,-2.841591E-03, 4.125835E000
1545560702.761,-2.807934E-03, 4.125835E000
1545560712.761,-2.846399E-03, 4.125890E000
1545560722.766,-2.827167E-03, 4.125872E000
1545560732.760,-2.831975E-03, 4.125854E000
1545560742.760,-2.817551E-03, 4.125945E000
1545560752.760,-2.817551E-03, 4.125872E000
1545560762.761,-2.812743E-03, 4.125890E000
1545560772.761,-2.817551E-03, 4.125927E000
1545560782.760,-2.860823E-03, 4.125927E000
1545560792.761,-2.822359E-03, 4.125945E000
1545560802.765,-2.836783E-03, 4.125908E000
1545560812.761,-2.831975E-03, 4.125945E000
1545560822.766,-2.831975E-03, 4.125908E000
1545560832.766,-2.817551E-03, 4.125927E000
1545560842.761,-2.851207E-03, 4.125982E000
1545560852.761,-2.822359E-03, 4.125982E000
1545560862.761,-2.827167E-03, 4.126000E000
1545560872.761,-2.836783E-03, 4.125945E000
1545560882.761,-2.822359E-03, 4.125963E000
1545560892.761,-2.856016E-03, 4.125963E000
1545560902.760,-2.822359E-03, 4.125945E000
1545560912.760,-2.851207E-03, 4.126000E000
1545560922.761,-2.827167E-03, 4.125982E000
1545560932.760,-2.822359E-03, 4.125982E000
1545560942.761,-2.831975E-03, 4.126000E000
1545560952.760,-2.846399E-03, 4.125982E000
1545560962.761,-2.836783E-03, 4.126019E000
1545560972.760,-2.836783E-03, 4.126037E000
1545560982.761,-2.831975E-03, 4.126055E000
1545560992.761,-2.822359E-03, 4.126019E000
1545561002.760,-2.836783E-03, 4.126037E000
1545561012.761,-2.827167E-03, 4.126037E000
1545561022.761,-2.836783E-03, 4.126055E000
1545561032.761,-2.812743E-03, 4.126037E000
1545561042.761,-2.827167E-03, 4.126019E000
1545561052.761,-2.836783E-03, 4.126055E000
1545561062.761,-2.812743E-03, 4.126055E000
1545561072.766,-2.836783E-03, 4.126019E000
1545561082.766,-2.836783E-03, 4.126019E000
1545561092.761,-2.827167E-03, 4.126037E000
1545561102.760,-2.827167E-03, 4.126055E000
1545561112.761,-2.817551E-03, 4.126092E000
